cluster.no	I-H-130719-T1-2-D1-2I-H-130719-T1-2-D1-2	I-H-130719-T1-2-D1-2I-H-130719-T1-4-D1-2	I-H-130719-T1-2-D1-2I-H-130719-T1-5-D1-2	I-H-130719-T1-2-D1-2I-H-130719-T1-6-D1-2	no.of.mutations
1	0.000175164269888242	0.00108219571862062	0.000123529135756413	0.564386717952071	665
2	4.00628356778551e-05	0.000144376639144603	0.51135299675036	0.000839854938949443	931
3	0.000103646476159845	0	0.954538422507817	0.00663476885194867	393
4	0.000331596386765974	0.00561202334864555	0.978046848461319	0.579906283644141	63
5	0.000798487432388538	0.586255998904924	0.000539293623317865	0	224
6	0	0.927875577683424	0	0.00316406783797139	138
7	0.248834739127922	0	0	0	94
8	0.474971759473897	0.357754225321209	0.432200804683126	0.486501077876819	29
9	0.969747621577998	0.0936656508061411	0.317226472160912	0.896351265050969	27
10	0.995552277799771	0	0	0	269
11	0.995871106205375	0.058571081310277	0.000997416500447452	0.400862896075683	185
12	1.00227829813379	0.134156430318466	0.970902431552023	0.944312433631262	666
13	0.983324501042936	0.968250425313628	0.298084395156373	0.945779002533928	149
14	1.01628335644393	1.01495756415205	0.998671162028327	1.00433091430076	8134
