cluster.no	I130720-T1-2-D1-2	I130720-T1-3-D1-2	I130720-T1-4-D1-2	I130720-T1-5-D1-2	I130720-T1-8-D1-2	no.of.mutations	no.samples
13	0.9995412159	0.9974673519	0.9970315023	1.001023873	0.9916966023	3739	5
11	1.016215869	0.06636286878	1.022414383	0.9694004868	0.9788672921	143	5
1	0.0001326299293	0.0002016237278	0.0001190373652	0.0001098363492	0.2790495928	2967	1
3	0.01571491557	0.0002145376076	0.0001660269425	0.9554647324	0.0002441679292	1013	1
5	0	0	0.9583589599	0	0.0001151722021	740	1
7	8.85E-05	0.4817961135	0.0004339022912	0.0001551536824	8.38E-05	697	1
2	0.0003050054604	0.005587181935	0.0008106454926	0.0003434242869	0.7686602114	611	1
8	0.0001905634043	0.9490966633	0.001164554781	0.0002472814179	0.0001646133079	554	1
10	0.9726605004	0.0001532342215	0	0.0001633909713	0.0001513524479	284	1
